business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,Neighborhoods (old),Police Districts,Supervisor Districts,Fire Prevention Districts,Zip Codes,Analysis Neighborhoods
551,Gordo Taqueria #1,2252 Clement St,San Francisco,CA,94121,37.782107,-122.483631,"{'type': 'Point', 'coordinates': [-122.483631, 37.782107]}",,551_20190918,2019-09-18T00:00:00.000,94,Routine - Unscheduled,551_20190918_103144,Unapproved or unmaintained equipment or utensils,Low Risk,26,6,2,11,55,29
90448,Lin's Kitchen,337 Jones St,San Francisco,CA,94102,,,,,90448_20170309,2017-03-09T00:00:00.000,86,Routine - Unscheduled,90448_20170309_103132,Improper thawing methods,Moderate Risk,,,,,,
77901,"The Estate Kitchen, LLC",799 Bryant St,San Francisco,CA,94107,,,,,77901_20190717,2019-07-17T00:00:00.000,84,Routine - Unscheduled,77901_20190717_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,,,,,,
87050,Fasty Fresh Inc/Firepie,3498 Cesar Chavez St,San Francisco,CA,94110,,,,+14155944099,87050_20180911,2018-09-11T00:00:00.000,90,Routine - Unscheduled,87050_20180911_103142,Unclean nonfood contact surfaces,Low Risk,,,,,,
85295,Happy Family Gourmet Inc,1042 Taraval St,San Francisco,CA,94116,,,,+14155998122,85295_20190829,2019-08-29T00:00:00.000,77,Routine - Unscheduled,85295_20190829_103157,Food safety certificate or food handler card not available,Low Risk,,,,,,
2601,Last Drop Tavern,550 3 St,San Francisco,CA,94108,37.789883,-122.408666,"{'type': 'Point', 'coordinates': [-122.408666, 37.789883]}",,2601_20190731,2019-07-31T00:00:00.000,81,Routine - Unscheduled,2601_20190731_103105,Improper cooling methods,High Risk,6,1,10,5,28857,8
87942,Pizza Zone and Grill,4404 03rd St,San Francisco,CA,94124,,,,,87942_20181003,2018-10-03T00:00:00.000,92,Routine - Unscheduled,87942_20181003_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,,,,,,
62896,Spice Kit,405 Howard St Suite 130,San Francisco,CA,94105,37.789057,-122.395322,"{'type': 'Point', 'coordinates': [-122.395322, 37.789057]}",,62896_20190213,2019-02-13T00:00:00.000,81,Routine - Unscheduled,62896_20190213_103139,Improper food storage,Low Risk,6,2,9,6,28855,8
100203,"FACEBOOK, INC.",181 FREMONT ST FL 6TH,San Francisco,CA,94105,,,,+14150799045,100203_20190730,2019-07-30T00:00:00.000,96,Routine - Unscheduled,100203_20190730_103153,Inadequate dressing rooms or improper storage of personal items,Low Risk,,,,,,
68390,Mission's Kitchen,2738 Mission St,San Francisco,CA,94110,,,,+14155641577,68390_20190318,2019-03-18T00:00:00.000,81,Routine - Unscheduled,68390_20190318_103105,Improper cooling methods,High Risk,,,,,,
97844,THE MELT,455 Market St Ste 140,San Francisco,CA,94105,,,,+14155685755,97844_20181003,2018-10-03T00:00:00.000,,New Ownership - Followup,97844_20181003_103120,Moderate risk food holding temperature,Moderate Risk,,,,,,
76218,Tenderloin Market & Deli,200 Leavenworth,San Francisco,CA,94102,,,,,76218_20190124,2019-01-24T00:00:00.000,60,Routine - Unscheduled,76218_20190124_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,,,,,,
59828,Tip Top Market,84 Turk St,San Francisco,CA,94102,37.783268,-122.410553,"{'type': 'Point', 'coordinates': [-122.410553, 37.783268]}",,59828_20190820,2019-08-20T00:00:00.000,55,Routine - Unscheduled,59828_20190820_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,36,10,9,14,28852,36
